,ZH,Z,JH,D,IH,AY,OW,S,CH,UW,L,AE,AH,B,G,SH,UH,DH,EY,ER,Y,EH,T,NG,R,P,AA,HH,TH,W,K,M,N,OY,F,IY,AW,AO,V
ZH,0,2,1,5,11,11,14,3,2,14,7,11,10,6,7,1,13,2,12,6,11,10,6,9,5,7,11,6,3,13,8,8,7,13,6,12,11,12,5
Z,2,0,3,3,11,11,14,1,4,14,5,11,10,6,7,3,13,2,12,8,11,10,4,9,7,7,11,6,3,13,8,8,5,13,6,12,11,12,5
JH,1,3,0,4,12,12,15,4,1,15,8,12,11,5,6,2,14,3,13,7,12,11,5,8,6,6,12,7,4,14,7,7,6,14,7,13,12,13,6
D,5,3,4,0,10,10,13,4,5,13,4,10,9,3,4,6,12,3,11,7,10,9,1,6,6,4,10,7,4,12,5,5,2,12,7,11,10,11,6
IH,11,11,12,10,0,4,7,12,13,5,8,2,3,9,6,12,4,11,3,5,2,1,11,6,6,10,4,9,12,6,7,9,10,6,11,1,4,5,10
AY,11,11,12,10,4,0,7,12,13,7,8,2,3,9,8,12,6,11,3,5,6,3,11,8,6,10,2,9,12,8,9,9,10,4,11,5,2,5,10
OW,14,14,15,13,7,7,0,15,16,2,11,7,4,10,11,15,3,14,6,8,7,6,14,11,9,11,5,12,15,3,12,10,13,3,12,6,5,2,11
S,3,1,4,4,12,12,15,0,3,15,6,12,11,7,8,2,14,3,13,9,12,11,3,10,8,6,12,5,2,14,7,9,6,14,5,13,12,13,6
CH,2,4,1,5,13,13,16,3,0,16,9,13,12,6,7,1,15,4,14,8,13,12,4,9,7,5,13,6,3,15,6,8,7,15,6,14,13,14,7
UW,14,14,15,13,5,7,2,15,16,0,11,7,4,10,9,15,1,14,6,8,5,6,14,9,9,11,5,12,15,1,10,10,13,3,12,4,7,2,11
L,7,5,8,4,8,8,11,6,9,11,0,8,7,7,8,8,10,5,9,5,8,7,5,8,4,8,8,9,6,10,9,7,4,10,9,9,8,9,8
AE,11,11,12,10,2,2,7,12,13,7,8,0,3,9,8,12,6,11,3,5,4,1,11,8,6,10,2,9,12,8,9,9,10,6,11,3,2,5,10
AH,10,10,11,9,3,3,4,11,12,4,7,3,0,8,7,11,3,10,4,4,5,2,10,7,5,9,1,8,11,5,8,8,9,3,10,4,3,2,9
B,6,6,5,3,9,9,10,7,6,10,7,9,8,0,3,7,9,6,10,8,9,8,4,5,7,1,9,6,7,9,4,2,5,9,4,10,9,8,3
G,7,7,6,4,6,8,11,8,7,9,8,8,7,3,0,8,8,7,9,9,6,7,5,2,8,4,8,7,8,8,1,5,6,10,7,7,8,9,6
SH,1,3,2,6,12,12,15,2,1,15,8,12,11,7,8,0,14,3,13,7,12,11,5,10,6,6,12,5,2,14,7,9,8,14,5,13,12,13,6
UH,13,13,14,12,4,6,3,14,15,1,10,6,3,9,8,14,0,13,7,7,6,5,13,8,8,10,4,11,14,2,9,9,12,2,11,5,6,1,10
DH,2,2,3,3,11,11,14,3,4,14,5,11,10,6,7,3,13,0,12,6,11,10,4,9,5,7,11,6,1,13,8,8,5,13,6,12,11,12,5
EY,12,12,13,11,3,3,6,13,14,6,9,3,4,10,9,13,7,12,0,6,3,2,12,9,7,11,5,10,13,7,10,10,11,5,12,2,5,6,11
ER,6,8,7,7,5,5,8,9,8,8,5,5,4,8,9,7,7,6,6,0,7,4,8,9,1,9,5,8,7,9,10,8,7,7,10,6,5,6,9
Y,11,11,12,10,2,6,7,12,13,5,8,4,5,9,6,12,6,11,3,7,0,3,11,6,6,10,6,9,12,4,7,9,10,8,11,1,6,7,10
EH,10,10,11,9,1,3,6,11,12,6,7,1,2,8,7,11,5,10,2,4,3,0,10,7,5,9,3,8,11,7,8,8,9,5,10,2,3,4,9
T,6,4,5,1,11,11,14,3,4,14,5,11,10,4,5,5,13,4,12,8,11,10,0,7,7,3,11,6,3,13,4,6,3,13,6,12,11,12,7
NG,9,9,8,6,6,8,11,10,9,9,8,8,7,5,2,10,8,9,9,9,6,7,7,0,8,6,8,9,10,8,3,3,4,10,9,7,8,9,8
R,5,7,6,6,6,6,9,8,7,9,4,6,5,7,8,6,8,5,7,1,6,5,7,8,0,8,6,7,6,8,9,7,6,8,9,7,6,7,8
P,7,7,6,4,10,10,11,6,5,11,8,10,9,1,4,6,10,7,11,9,10,9,3,6,8,0,10,5,6,10,3,3,6,10,3,11,10,9,4
AA,11,11,12,10,4,2,5,12,13,5,8,2,1,9,8,12,4,11,5,5,6,3,11,8,6,10,0,9,12,6,9,9,10,4,11,5,2,3,10
HH,6,6,7,7,9,9,12,5,6,12,9,9,8,6,7,5,11,6,10,8,9,8,6,9,7,5,9,0,5,11,6,8,9,11,4,10,9,10,5
TH,3,3,4,4,12,12,15,2,3,15,6,12,11,7,8,2,14,1,13,7,12,11,3,10,6,6,12,5,0,14,7,9,6,14,5,13,12,13,6
W,13,13,14,12,6,8,3,14,15,1,10,8,5,9,8,14,2,13,7,9,4,7,13,8,8,10,6,11,14,0,9,9,12,4,11,5,8,3,10
K,8,8,7,5,7,9,12,7,6,10,9,9,8,4,1,7,9,8,10,10,7,8,4,3,9,3,9,6,7,9,0,6,7,11,6,8,9,10,7
M,8,8,7,5,9,9,10,9,8,10,7,9,8,2,5,9,9,8,10,8,9,8,6,3,7,3,9,8,9,9,6,0,3,9,6,10,9,8,5
N,7,5,6,2,10,10,13,6,7,13,4,10,9,5,6,8,12,5,11,7,10,9,3,4,6,6,10,9,6,12,7,3,0,12,9,11,10,11,8
OY,13,13,14,12,6,4,3,14,15,3,10,6,3,9,10,14,2,13,5,7,8,5,13,10,8,10,4,11,14,4,11,9,12,0,11,7,6,1,10
F,6,6,7,7,11,11,12,5,6,12,9,11,10,4,7,5,11,6,12,10,11,10,6,9,9,3,11,4,5,11,6,6,9,11,0,12,11,10,1
IY,12,12,13,11,1,5,6,13,14,4,9,3,4,10,7,13,5,12,2,6,1,2,12,7,7,11,5,10,13,5,8,10,11,7,12,0,5,6,11
AW,11,11,12,10,4,2,5,12,13,7,8,2,3,9,8,12,6,11,5,5,6,3,11,8,6,10,2,9,12,8,9,9,10,6,11,5,0,5,10
AO,12,12,13,11,5,5,2,13,14,2,9,5,2,8,9,13,1,12,6,6,7,4,12,9,7,9,3,10,13,3,10,8,11,1,10,6,5,0,9
V,5,5,6,6,10,10,11,6,7,11,8,10,9,3,6,6,10,5,11,9,10,9,7,8,8,4,10,5,6,10,7,5,8,10,1,11,10,9,0
